Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,BioProject,GenBank_Title
MN737183,Echovirus E18,NA,"Dong,D., Jia,N., Li,C., Liu,Z., Feng,J., Liu,Y., Zhu,Y.","Department of Laboratory Medicine, The Affiliated Hospital of Qingdao University",China,2020-09-08,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7382,GenBank,partial,18,NA,NA,China,China,NA,Homo sapiens,feces,2019-07-18,NA,NA,"Echovirus E18 strain QD2/SD/CHN/2019 polyprotein gene, complete cds"
MN737184,Echovirus E18,NA,"Dong,D., Jia,N., Li,C., Liu,Z., Feng,J., Liu,Y., Zhu,Y.","Department of Laboratory Medicine, The Affiliated Hospital of Qingdao University",China,2020-09-08,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7390,GenBank,partial,18,NA,NA,China,China,NA,Homo sapiens,feces,2019-07-18,NA,NA,"Echovirus E18 strain QD2/SD/CHN/2019 polyprotein gene, complete cds"
MN737185,Echovirus E18,NA,"Dong,D., Jia,N., Li,C., Liu,Z., Feng,J., Liu,Y., Zhu,Y.","Department of Laboratory Medicine, The Affiliated Hospital of Qingdao University",China,2020-09-08,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7389,GenBank,partial,18,NA,NA,China,China,NA,Homo sapiens,feces,2019-07-18,NA,NA,"Echovirus E18 strain QD4/SD/CHN/2019 polyprotein gene, complete cds"
MN737186,Echovirus E18,NA,"Dong,D., Jia,N., Li,C., Liu,Z., Feng,J., Liu,Y., Zhu,Y.","Department of Laboratory Medicine, The Affiliated Hospital of Qingdao University",China,2020-09-08,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7389,GenBank,partial,18,NA,NA,China,China,NA,Homo sapiens,feces,2019-07-18,NA,NA,"Echovirus E18 strain QD5/SD/CHN/2019 polyprotein gene, complete cds"
MN737187,Echovirus E18,NA,"Dong,D., Jia,N., Li,C., Liu,Z., Feng,J., Liu,Y., Zhu,Y.","Department of Laboratory Medicine, The Affiliated Hospital of Qingdao University",China,2020-09-08,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7378,GenBank,partial,18,NA,NA,China,China,NA,Homo sapiens,feces,2019-07-18,NA,NA,"Echovirus E18 strain QD6/SD/CHN/2019 polyprotein gene, complete cds"
MN737188,Echovirus E18,NA,"Dong,D., Jia,N., Li,C., Liu,Z., Feng,J., Liu,Y., Zhu,Y.","Department of Laboratory Medicine, The Affiliated Hospital of Qingdao University",China,2020-09-08,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7375,GenBank,partial,18,NA,NA,China,China,NA,Homo sapiens,feces,2019-07-18,NA,NA,"Echovirus E18 strain QD7/SD/CHN/2019 polyprotein gene, complete cds"
MN737189,Echovirus E18,NA,"Dong,D., Jia,N., Li,C., Liu,Z., Feng,J., Liu,Y., Zhu,Y.","Department of Laboratory Medicine, The Affiliated Hospital of Qingdao University",China,2020-09-08,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7391,GenBank,partial,18,NA,NA,China,China,NA,Homo sapiens,feces,2019-07-18,NA,NA,"Echovirus E18 strain D8/SD/CHN/2019 polyprotein gene, complete cds"
MN737190,Echovirus E18,NA,"Dong,D., Jia,N., Li,C., Liu,Z., Feng,J., Liu,Y., Zhu,Y.","Department of Laboratory Medicine, The Affiliated Hospital of Qingdao University",China,2020-09-08,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7334,GenBank,partial,18,NA,NA,China,China,NA,Homo sapiens,cerebrospinal fluid,2019-07-18,NA,NA,"Echovirus E18 strain QD5-C/SD/CHN/2019 polyprotein gene, complete cds"
MN580134,Enterovirus B93,NA,"Zhang,M., Zhang,Y.","Chinese Center for Disease Control and Prevention, WHO WPRO Regional Polio Reference Laboratory and National Health Commission Key Laboratory for Medical Virology, National Institute for Viral Disease Control and Prevention",NA,2020-08-10,99052/XZ/CHN/1999,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7432,GenBank,complete,B93,NA,NA,China,China,NA,Homo sapiens,feces,1999-08-11,NA,NA,"Enterovirus B93 isolate 99052/XZ/CHN/1999, complete genome"
MN580135,Enterovirus B93,NA,"Zhang,M., Zhang,Y.","Chinese Center for Disease Control and Prevention, WHO WPRO Regional Polio Reference Laboratory and National Health Commission Key Laboratory for Medical Virology, National Institute for Viral Disease Control and Prevention",NA,2020-08-10,99096/XZ/CHN/1999,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7395,GenBank,complete,B93,NA,NA,China,China,NA,Homo sapiens,feces,1999-08-12,NA,NA,"Enterovirus B93 isolate 99096/XZ/CHN/1999, complete genome"
MN580136,Enterovirus B93,NA,"Zhang,M., Zhang,Y.","Chinese Center for Disease Control and Prevention, WHO WPRO Regional Polio Reference Laboratory and National Health Commission Key Laboratory for Medical Virology, National Institute for Viral Disease Control and Prevention",NA,2020-08-10,99167/XZ/CHN/1999,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7438,GenBank,complete,B93,NA,NA,China,China,NA,Homo sapiens,feces,1999-09-04,NA,NA,"Enterovirus B93 isolate 99167/XZ/CHN/1999, complete genome"
MN590273,Coxsackievirus B4,NA,"Luciani,L., Nougairede,A.","UVE: Aix-Marseille Univ-IRD 190-Inserm 1207-IHU Mediterranee Infection, UMR190-Unite des virus emergents",France,2020-07-04,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7203,GenBank,complete,NA,NA,NA,France,France,NA,Homo sapiens,blood,2019-03-31,NA,NA,"Coxsackievirus B4 strain 2019/FR/3996, complete genome"
MN164683,Enterovirus B83,NA,"Xiao,J., Zhang,Y., Hong,M., Han,Z., Zhang,M., Song,Y., Yan,D., Zhu,S., Xu,W.","National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, WHO WPRO Regional Polio Reference Laboratory and National Health Commission Key Laboratory for Medical Virology",China,2020-06-23,99245/XZ/CHN/1999,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7396,GenBank,complete,B83,NA,1,China,China,NA,Homo sapiens,feces,1999-09-17,NA,NA,"Enterovirus B83 isolate 99245/XZ/CHN/1999, complete genome"
MN164684,Enterovirus B83,NA,"Xiao,J., Zhang,Y., Hong,M., Han,Z., Zhang,M., Song,Y., Yan,D., Zhu,S., Xu,W.","National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, WHO WPRO Regional Polio Reference Laboratory and National Health Commission Key Laboratory for Medical Virology",China,2020-06-23,99258/XZ/CHN/1999,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7396,GenBank,complete,B83,NA,1,China,China,NA,Homo sapiens,feces,1999-09-05,NA,NA,"Enterovirus B83 isolate 99258/XZ/CHN/1999, complete genome"
MN164685,Enterovirus B83,NA,"Xiao,J., Zhang,Y., Hong,M., Han,Z., Zhang,M., Song,Y., Yan,D., Zhu,S., Xu,W.","National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, WHO WPRO Regional Polio Reference Laboratory and National Health Commission Key Laboratory for Medical Virology",China,2020-06-23,99267/XZ/CHN/1999,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7396,GenBank,complete,B83,NA,1,China,China,NA,Homo sapiens,feces,1999-09-06,NA,NA,"Enterovirus B83 isolate 99267/XZ/CHN/1999, complete genome"
MN164686,Enterovirus B83,NA,"Xiao,J., Zhang,Y., Hong,M., Han,Z., Zhang,M., Song,Y., Yan,D., Zhu,S., Xu,W.","National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, WHO WPRO Regional Polio Reference Laboratory and National Health Commission Key Laboratory for Medical Virology",China,2020-06-23,99268/XZ/CHN/1999,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7396,GenBank,complete,B83,NA,1,China,China,NA,Homo sapiens,feces,1999-09-06,NA,NA,"Enterovirus B83 isolate 99268/XZ/CHN/1999, complete genome"
MN164687,Enterovirus B83,NA,"Xiao,J., Zhang,Y., Hong,M., Han,Z., Zhang,M., Song,Y., Yan,D., Zhu,S., Xu,W.","National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, WHO WPRO Regional Polio Reference Laboratory and National Health Commission Key Laboratory for Medical Virology",China,2020-06-23,99269/XZ/CHN/1999,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7396,GenBank,complete,B83,NA,1,China,China,NA,Homo sapiens,feces,1999-09-06,NA,NA,"Enterovirus B83 isolate 99269/XZ/CHN/1999, complete genome"
MN164688,Enterovirus B83,NA,"Xiao,J., Zhang,Y., Hong,M., Han,Z., Zhang,M., Song,Y., Yan,D., Zhu,S., Xu,W.","National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, WHO WPRO Regional Polio Reference Laboratory and National Health Commission Key Laboratory for Medical Virology",China,2020-06-23,99275/XZ/CHN/1999,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7396,GenBank,complete,B83,NA,1,China,China,NA,Homo sapiens,feces,1999-09-06,NA,NA,"Enterovirus B83 isolate 99275/XZ/CHN/1999, complete genome"
MN597453,Enterovirus B83,NA,"Zheng,H., Peng,J., Lu,J., Zeng,H., Li,C., Fang,L., Ke,C., Zhang,Y., Li,H.","Guangdong Provincial Center for Disease Control and Prevention, Institute of Pathognic Microbiology",NA,2020-05-31,AFP341-GD-CHN-2001,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7396,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,NA,2001-08-18,NA,NA,"Enterovirus B83 isolate AFP341-GD-CHN-2001, complete genome"
MN597950,Echovirus E11,NA,"Lu,J., Kang,M., Zeng,H., Zhong,Y., Fang,L., Zheng,X., Liu,L., Yi,L., Lin,H., Peng,J., Li,C., Zhang,Y., Sun,L., Luo,S., Xiao,J., Munnink,B.B.O., Koopmans,M.P.G., Wu,J., Song,T., Li,H., Zheng,H.","Guangdong Provincial Center for Disease Control and Prevention, Institute of Pathognic Microbiology",NA,2020-05-22,Sewage34-1-1/GD.GZ/CHN/2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7154,GenBank,partial,NA,NA,1,China,China,NA,Homo sapiens,NA,2018-09-04,NA,NA,"Echovirus E11 isolate Sewage34-1-1/GD.GZ/CHN/2018 polyprotein gene, complete cds"
MN597951,Echovirus E11,NA,"Lu,J., Kang,M., Zeng,H., Zhong,Y., Fang,L., Zheng,X., Liu,L., Yi,L., Lin,H., Peng,J., Li,C., Zhang,Y., Sun,L., Luo,S., Xiao,J., Munnink,B.B.O., Koopmans,M.P.G., Wu,J., Song,T., Li,H., Zheng,H.","Guangdong Provincial Center for Disease Control and Prevention, Institute of Pathognic Microbiology",NA,2020-05-22,Sewage4-2-1/GD.GZ/CHN/2019,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7209,GenBank,partial,NA,NA,1,China,China,NA,Homo sapiens,NA,2019-01-08,NA,NA,"Echovirus E11 isolate Sewage4-2-1/GD.GZ/CHN/2019 polyprotein gene, complete cds"
MN597952,Echovirus E11,NA,"Lu,J., Kang,M., Zeng,H., Zhong,Y., Fang,L., Zheng,X., Liu,L., Yi,L., Lin,H., Peng,J., Li,C., Zhang,Y., Sun,L., Luo,S., Xiao,J., Munnink,B.B.O., Koopmans,M.P.G., Wu,J., Song,T., Li,H., Zheng,H.","Guangdong Provincial Center for Disease Control and Prevention, Institute of Pathognic Microbiology",NA,2020-05-22,HFMD1311-GD-CHN-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7209,GenBank,partial,NA,NA,1,China,China,NA,Homo sapiens,feces,2018-07-15,NA,NA,"Echovirus E11 isolate HFMD1311-GD-CHN-2018 polyprotein gene, complete cds"
MN597953,Echovirus E11,NA,"Lu,J., Kang,M., Zeng,H., Zhong,Y., Fang,L., Zheng,X., Liu,L., Yi,L., Lin,H., Peng,J., Li,C., Zhang,Y., Sun,L., Luo,S., Xiao,J., Munnink,B.B.O., Koopmans,M.P.G., Wu,J., Song,T., Li,H., Zheng,H.","Guangdong Provincial Center for Disease Control and Prevention, Institute of Pathognic Microbiology",NA,2020-05-22,Sewage15-2-1/GD.GZ/CHN/2019,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7209,GenBank,partial,NA,NA,1,China,China,NA,Homo sapiens,NA,2019-04-03,NA,NA,"Echovirus E11 isolate Sewage15-2-1/GD.GZ/CHN/2019 polyprotein gene, complete cds"
MN597954,Echovirus E11,NA,"Lu,J., Kang,M., Zeng,H., Zhong,Y., Fang,L., Zheng,X., Liu,L., Yi,L., Lin,H., Peng,J., Li,C., Zhang,Y., Sun,L., Luo,S., Xiao,J., Munnink,B.B.O., Koopmans,M.P.G., Wu,J., Song,T., Li,H., Zheng,H.","Guangdong Provincial Center for Disease Control and Prevention, Institute of Pathognic Microbiology",NA,2020-05-22,Sewage6-1-1/GD.GZ/CHN/2019,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7209,GenBank,partial,NA,NA,1,China,China,NA,Homo sapiens,NA,2019-02-08,NA,NA,"Echovirus E11 isolate Sewage6-1-1/GD.GZ/CHN/2019 polyprotein gene, complete cds"
MK791148,Coxsackievirus B3,NA,"Cui,L., Zhao,K., Zhu,X., Wu,T., Qiao,Q., Ge,Y., Wu,B., Chen,Y.","Jiangsu Provincial Center for Disease Control and Prevention, NHC Key laboratory of Enteric Pathogenic Microbiology",China,2020-05-16,2001-5,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7400,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,NA,2001-05-01,NA,NA,"Coxsackievirus B3 isolate 2001-5, complete genome"
MK791149,Coxsackievirus B5,NA,"Cui,L., Zhao,K., Zhu,X., Wu,T., Qiao,Q., Ge,Y., Wu,B., Chen,Y.","Jiangsu Provincial Center for Disease Control and Prevention, NHC Key laboratory of Enteric Pathogenic Microbiology",China,2020-05-16,B005,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7396,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,NA,2018-08-27,NA,NA,"Coxsackievirus B5 isolate B005, complete genome"
MK791150,Echovirus E3,NA,"Cui,L., Zhao,K., Zhu,X., Wu,T., Qiao,Q., Ge,Y., Wu,B., Chen,Y.","Jiangsu Provincial Center for Disease Control and Prevention, NHC Key laboratory of Enteric Pathogenic Microbiology",China,2020-05-16,123-R2,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7414,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,NA,2018-11-14,NA,NA,"Echovirus E3 isolate 123-R2, complete genome"
MK791151,Echovirus E6,NA,"Cui,L., Zhao,K., Zhu,X., Wu,T., Qiao,Q., Ge,Y., Wu,B., Chen,Y.","Jiangsu Provincial Center for Disease Control and Prevention, NHC Key laboratory of Enteric Pathogenic Microbiology",China,2020-05-16,78R2,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7393,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,NA,2018-11-09,NA,NA,"Echovirus E6 isolate 78R2, complete genome"
MK791152,Echovirus E11,NA,"Cui,L., Zhao,K., Zhu,X., Wu,T., Qiao,Q., Ge,Y., Wu,B., Chen,Y.","Jiangsu Provincial Center for Disease Control and Prevention, NHC Key laboratory of Enteric Pathogenic Microbiology",China,2020-05-16,2017-122-R2,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7343,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,NA,2018-11-14,NA,NA,"Echovirus E11 isolate 2017-122-R2, complete genome"
MK814996,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Prochazka,B., Indra,A., Netroufal,F., Paunovic,R.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,AT/960111_16/FAE/2016,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6585,GenBank,partial,Echovirus 30,NA,NA,Austria,Austria,NA,Homo sapiens,NA,2016-07-15,NA,NA,"Enterovirus B isolate AT/960111_16/FAE/2016 polyprotein gene, complete cds"
MK814997,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Prochazka,B., Indra,A., Netroufal,F., Paunovic,R.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,AT/960122_16/FAE/2016,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6585,GenBank,partial,Echovirus 30,NA,NA,Austria,Austria,NA,Homo sapiens,NA,2016-08-23,NA,NA,"Enterovirus B isolate AT/960122_16/FAE/2016 polyprotein gene, complete cds"
MK815000,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Nikolaeva-Glomb,L., Georgieva,I.L., Stoyanova,A.P.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,BG/501_2017/FAE/2017,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7304,GenBank,partial,Echovirus 30,NA,NA,Bulgaria,Bulgaria,NA,Homo sapiens,NA,2017-08-22,NA,NA,"Enterovirus B isolate BG/501_2017/FAE/2017 polyprotein gene, partial cds"
MK815001,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Nikolaeva-Glomb,L., Georgieva,I.L., Stoyanova,A.P.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,BG/521_2017/CSF/2017,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7397,GenBank,partial,Echovirus 30,NA,NA,Bulgaria,Bulgaria,NA,Homo sapiens,NA,2017-08-31,NA,NA,"Enterovirus B isolate BG/521_2017/CSF/2017 polyprotein gene, complete cds"
MK815002,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Nikolaeva-Glomb,L., Georgieva,I.L., Stoyanova,A.P.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,BG/579_2018-B1/FAE/2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7405,GenBank,partial,Echovirus 30,NA,NA,Bulgaria,Bulgaria,NA,Homo sapiens,NA,2018-10-16,NA,NA,"Enterovirus B isolate BG/579_2018-B1/FAE/2018 polyprotein gene, complete cds"
MK815003,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Nikolaeva-Glomb,L., Georgieva,I.L., Stoyanova,A.P.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,BG/580_2018-B2/CSF/2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7368,GenBank,partial,Echovirus 30,NA,NA,Bulgaria,Bulgaria,NA,Homo sapiens,NA,2018-10-16,NA,NA,"Enterovirus B isolate BG/580_2018-B2/CSF/2018 polyprotein gene, complete cds"
MK815071,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Cremer,J.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,NL/16-197/FAE/2016,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7294,GenBank,partial,Echovirus 30,NA,NA,Netherlands,Netherlands,NA,Homo sapiens,NA,2016-06-18,NA,NA,"Enterovirus B isolate NL/16-197/FAE/2016 polyprotein gene, complete cds"
MK815072,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Cremer,J.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,NL/16-302/FAE/2016,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7312,GenBank,partial,Echovirus 30,NA,NA,Netherlands,Netherlands,NA,Homo sapiens,NA,2016-07-18,NA,NA,"Enterovirus B isolate NL/16-302/FAE/2016 polyprotein gene, complete cds"
MK815073,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Cremer,J.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,NL/16-328/FAE/2016,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7336,GenBank,partial,Echovirus 30,NA,NA,Netherlands,Netherlands,NA,Homo sapiens,NA,2016-07-28,NA,NA,"Enterovirus B isolate NL/16-328/FAE/2016 polyprotein gene, complete cds"
MK815074,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Cremer,J.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,NL/16-443/FAE/2016,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7412,GenBank,partial,Echovirus 30,NA,NA,Netherlands,Netherlands,NA,Homo sapiens,NA,2016-09-13,NA,NA,"Enterovirus B isolate NL/16-443/FAE/2016 polyprotein gene, complete cds"
MK815075,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Cremer,J.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,NL/16-521/FAE/2016,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7339,GenBank,partial,Echovirus 30,NA,NA,Netherlands,Netherlands,NA,Homo sapiens,NA,2016-10-21,NA,NA,"Enterovirus B isolate NL/16-521/FAE/2016 polyprotein gene, complete cds"
MK815076,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Cremer,J.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,NL/16-619/FAE/2016,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7342,GenBank,partial,Echovirus 30,NA,NA,Netherlands,Netherlands,NA,Homo sapiens,NA,2016-12-25,NA,NA,"Enterovirus B isolate NL/16-619/FAE/2016 polyprotein gene, complete cds"
MK815077,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Cremer,J.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,NL/17-002/FAE/2016,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7374,GenBank,partial,Echovirus 30,NA,NA,Netherlands,Netherlands,NA,Homo sapiens,NA,2016-12-28,NA,NA,"Enterovirus B isolate NL/17-002/FAE/2016 polyprotein gene, complete cds"
MK815078,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Cremer,J.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,NL/17-384/FAE/2017,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7335,GenBank,partial,Echovirus 30,NA,NA,Netherlands,Netherlands,NA,Homo sapiens,NA,2017-06-29,NA,NA,"Enterovirus B isolate NL/17-384/FAE/2017 polyprotein gene, complete cds"
MK815079,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Cremer,J.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,NL/17-439/FAE/2017,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7344,GenBank,partial,Echovirus 30,NA,NA,Netherlands,Netherlands,NA,Homo sapiens,NA,2017-07-13,NA,NA,"Enterovirus B isolate NL/17-439/FAE/2017 polyprotein gene, complete cds"
MK815080,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Cremer,J.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,NL/17-470/FAE/2017,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7393,GenBank,partial,Echovirus 30,NA,NA,Netherlands,Netherlands,NA,Homo sapiens,NA,2017-07-20,NA,NA,"Enterovirus B isolate NL/17-470/FAE/2017 polyprotein gene, complete cds"
MK815081,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Cremer,J.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,NL/17-475/FAE/2017,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7343,GenBank,partial,Echovirus 30,NA,NA,Netherlands,Netherlands,NA,Homo sapiens,NA,2017-07-20,NA,NA,"Enterovirus B isolate NL/17-475/FAE/2017 polyprotein gene, complete cds"
MK815082,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Cremer,J.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,NL/17-499/CSF/2017,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7144,GenBank,partial,Echovirus 30,NA,NA,Netherlands,Netherlands,NA,Homo sapiens,NA,2017-07-24,NA,NA,"Enterovirus B isolate NL/17-499/CSF/2017 polyprotein gene, complete cds"
MK815083,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Cremer,J.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,NL/17-784/FAE/2017,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7345,GenBank,partial,Echovirus 30,NA,NA,Netherlands,Netherlands,NA,Homo sapiens,NA,2017-10-02,NA,NA,"Enterovirus B isolate NL/17-784/FAE/2017 polyprotein gene, complete cds"
MK815084,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Cremer,J.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,NL/18-035/FAE/2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6988,GenBank,partial,Echovirus 30,NA,NA,Netherlands,Netherlands,NA,Homo sapiens,NA,2018-02-09,NA,NA,"Enterovirus B isolate NL/18-035/FAE/2018 polyprotein gene, complete cds"
MK815085,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Cremer,J.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,NL/18-069/FAE/2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6870,GenBank,partial,Echovirus 30,NA,NA,Netherlands,Netherlands,NA,Homo sapiens,NA,2018-04-01,NA,NA,"Enterovirus B isolate NL/18-069/FAE/2018 polyprotein gene, complete cds"
MK815086,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Cremer,J.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,NL/18-092/FAE/2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6821,GenBank,partial,Echovirus 30,NA,NA,Netherlands,Netherlands,NA,Homo sapiens,NA,2018-04-18,NA,NA,"Enterovirus B isolate NL/18-092/FAE/2018 polyprotein gene, complete cds"
MK815087,Enterovirus B,NA,"Benschop,K., Broberg,E., Simmonds,P., Cremer,J.","National Institute for Public Health and the Environment, Centre for Infectious Disease Research, Diagnostics and Screening",Netherlands,2020-05-03,NL/18-098/FAE/2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6846,GenBank,partial,Echovirus 30,NA,NA,Netherlands,Netherlands,NA,Homo sapiens,NA,2018-04-22,NA,NA,"Enterovirus B isolate NL/18-098/FAE/2018 polyprotein gene, complete cds"
